,publication,title,authors,doi,year,cites,type,abstract,article_url,fulltext_url,abstractLength,scopus
1131,Parasites and Vectors,Association between body size and reservoir competence of mammals bearing Borrelia burgdorferi at an endemic site in the northeastern United States,"[{'name': 'A. Barbour', 'affiliation': 'University of California, Irvine, Irvine, United States'}]",10.1186/s13071-015-0903-5,2015,23,Article,,,,,1
1132,International Journal of Systematic and Evolutionary Microbiology,"Borrelia yangtzensis sp. nov., A rodent-associated species in Asia, is related to Borrelia valaisiana","[{'name': 'G. Margos', 'affiliation': 'Bavarian Health and Food Safety Authority, Oberschleissheim, Germany'}]",10.1099/ijsem.0.000491,2015,22,Article,,,,,1
1133,Journal of Clinical Microbiology,Development of a multiantigen panel for improved detection of borrelia burgdorferi infection in early lyme disease,"[{'name': 'L.J. Lahey', 'affiliation': 'Stanford University School of Medicine, Stanford, United States'}]",10.1128/JCM.02111-15,2015,22,Article,,,,,1
1134,Journal of Mathematical Biology,Delay differential systems for tick population dynamics,"[{'name': 'G. Fan', 'affiliation': 'Columbus State University, Columbus, United States'}]",10.1007/s00285-014-0845-0,2015,22,Article,,,,,1
1137,mBio,"Mutations in the borrelia burgdorferi flagellar type III secretion system genes fliH and fliI profoundly affect spirochete flagellar assembly, morphology, motility, structure, and cell division","[{'name': 'T. Lin', 'affiliation': 'University of Texas Health Science Center at Houston, Houston, United States'}]",10.1128/mBio.00579-15,2015,22,Article,,,,,1
1138,Acta Tropica,Ticks infesting wild and domestic animals and humans of Sri Lanka with new host records,"[{'name': 'D.R. Liyanaarachchi', 'affiliation': 'University of Peradeniya, Peradeniya, Sri Lanka'}]",10.1016/j.actatropica.2014.11.001,2015,22,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0001706X14003441,,,1
1139,Open Forum Infectious Diseases,"Geographic expansion of lyme disease in the Southeastern United States, 2000-2014","[{'name': 'P.M. Lantos', 'affiliation': 'Duke University School of Medicine, Durham, United States'}]",10.1093/ofid/ofv143,2015,21,Article,,,,,1
1142,PLoS ONE,Different ecological niches for ticks of public health significance in Canada,"[{'name': 'V. Gabriele-Rivet', 'affiliation': 'University of Montreal, Montreal, Canada'}]",10.1371/journal.pone.0131282,2015,21,Article,,,,,1
1144,SIAM Journal on Applied Mathematics,Spatial invasion threshold of Lyme disease,"[{'name': 'W. Wang', 'affiliation': 'Southwest University, Chongqing, China'}]",10.1137/140981769,2015,21,Article,,,,,1
1146,PLoS ONE,Decorin binding proteins of Borrelia burgdorferi promote arthritis development and joint specific post-treatment DNA persistence in mice,"[{'name': 'J. Salo', 'affiliation': 'Turun yliopisto, Turku, Finland'}]",10.1371/journal.pone.0121512,2015,21,Article,,,,,1
1147,Journal of Medical Microbiology,Multiplex assay (Mikrogen recomBead) for detection of serum IgG and IgM antibodies to 13 recombinant antigens of borrelia burgdorferi sensu lato in patients with neuroborreliosis: The more the better?,"[{'name': 'R. Dessau', 'affiliation': 'Slagelse Sygehus, Slagelse, Denmark'}]",10.1099/jmm.0.000009,2015,21,Article,,,,,1
1148,Emerging Microbes and Infections,Identification of new compounds with high activity against stationary phase Borrelia burgdorferi from the NCI compound collection,"[{'name': 'J. Feng', 'affiliation': 'Johns Hopkins Bloomberg School of Public Health, Baltimore, United States'}]",10.1038/emi.2015.31,2015,20,Article,,,,,1
1149,American Family Physician,A systematic approach to the evaluation of a limping child,"[{'name': 'S. Naranje', 'affiliation': 'Forrest City Medical Center, United States'}]",,2015,20,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0002838X15303361,,,1
1150,OIE Revue Scientifique et Technique,Lyme disease,"[{'name': 'B. Chomel', 'affiliation': 'University of California, Davis, Davis, United States'}]",10.20506/rst.34.2.2380,2015,20,Article,,,,,1
1151,"Infection, Genetics and Evolution","Cross-reactive acquired immunity influences transmission success of the Lyme disease pathogen, Borrelia afzelii","[{'name': 'M. Jacquet', 'affiliation': 'Université de Neuchâtel, Neuchatel, Switzerland'}]",10.1016/j.meegid.2015.09.012,2015,20,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1567134815003792,,,1
1152,Eurosurveillance,Improving national surveillance of Lyme neuroborreliosis in Denmark through electronic reporting of specific antibody index testing from 2010 to 2012,"[{'name': 'R. Dessau', 'affiliation': 'Slagelse Sygehus, Slagelse, Denmark'}]",10.2807/1560-7917.ES2015.20.28.21184,2015,20,Article,,,,,1
1153,PLoS ONE,Evaluation of the importance of VlsE antigenic variation for the enzootic cycle of Borrelia burgdorferi,"[{'name': 'A.S. Rogovskyy', 'affiliation': 'Texas A&amp;M College of Veterinary Medicine &amp; Biomedical Sciences, College Station, United States'}]",10.1371/journal.pone.0124268,2015,20,Article,,,,,1
1154,Clinical Microbiology and Infection,Ticking the right boxes: Classification of patients suspected of Lyme borreliosis at an academic referral center in the Netherlands,"[{'name': 'J. Coumou', 'affiliation': 'Amsterdam UMC - University of Amsterdam, Amsterdam, Netherlands'}]",10.1016/j.cmi.2014.11.014,2015,20,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1198743X14001001,,,1
1155,Arthritis and Rheumatology,Brief report: Long-term assessment of fibromyalgia in patients with culture-confirmed Lyme disease,"[{'name': 'G.P. Wormser', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1002/art.38972,2015,20,Article,,,,,1
1156,Molecular and Cellular Proteomics,Epitope identification from fixed-complexity random-sequence peptide microarrays,"[{'name': 'J. Richer', 'affiliation': 'Arizona State University, Tempe, United States'}]",10.1074/mcp.M114.043513,2015,20,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1535947620316686,,,1
1157,Cellular Microbiology,Host cell heparan sulfate glycosaminoglycans are ligands for OspF-related proteins of the Lyme disease spirochete,"[{'name': 'Y.P. Lin', 'affiliation': 'Tufts University School of Medicine, Boston, United States'}]",10.1111/cmi.12448,2015,19,Article,,,,,1
1158,Ticks and Tick-borne Diseases,"Ticks and tick-borne pathogens in South Bohemia (Czech Republic) - Spatial variability in Ixodes ricinus abundance, Borrelia burgdorferi and tick-borne encephalitis virus prevalence","[{'name': 'V. Hönig', 'affiliation': 'Institute of Parasitology, Biology Centre of the Academy of Sciences of the Czech Republic, Ceske Budejovice, Czech Republic'}]",10.1016/j.ttbdis.2015.04.010,2015,19,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X15000783,,,1
1159,Zoonoses and Public Health,"Detection of Invasive Borrelia burgdorferi Strains in North-Eastern Piedmont, Italy","[{'name': 'M.D. Pintore', 'affiliation': 'Istituto Zooprofilattico Sperimentale Piemonte, Torino, Italy'}]",10.1111/zph.12156,2015,19,Article,,,,,1
1160,Journal of Infection,Tick-borne diseases of the USA: Ten things clinicians should know,"[{'name': 'S. Buckingham', 'affiliation': 'University of Tennessee Health Science Center, Memphis, United States'}]",10.1016/j.jinf.2015.04.009,2015,19,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0163445315001024,,,1
1163,Pediatrics in Review,The limping child,"[{'name': 'M.J. Herman', 'affiliation': 'Drexel University College of Medicine, Philadelphia, United States'}]",10.1542/pir.36-5-184,2015,19,Article,,,,,1
1164,BMC Dermatology,Exploring the association between Morgellons disease and Lyme disease: Identification of Borrelia burgdorferi in Morgellons disease patients,"[{'name': 'M.J. Middelveen', 'affiliation': 'International Lyme and Associated Diseases Society, Bethesda, United States'}]",10.1186/s12895-015-0023-0,2015,19,Article,,,,,1
1167,PLoS ONE,"Correlation of culture positivity, PCR positivity, and burden of borrelia burgdorferi Sensu Lato in Skin Samples of erythema migrans patients with clinical findings","[{'name': 'D. Stupica', 'affiliation': 'Univerzitetni Klinični Center Ljubljana, Ljubljana, Slovenia'}]",10.1371/journal.pone.0136600,2015,18,Article,,,,,1
1168,Parasites and Vectors,Molecular detection of Anaplasma phagocytophilum and Borrelia burgdorferi sensu lato genospecies in red foxes (Vulpes vulpes) from Romania,"[{'name': 'M.O. Dumitrache', 'affiliation': 'Universitatea de Stiinte Agricole si Medicina Veterinara din Cluj-Napoca, Cluj Napoca, Romania'}]",10.1186/s13071-015-1130-9,2015,18,Article,,,,,1
1170,Annals of the Rheumatic Diseases,Identification of patients with gout: Elaboration of a questionnaire for epidemiological studies,"[{'name': 'P. Richette', 'affiliation': 'Université de Paris, Paris, France'}]",10.1136/annrheumdis-2013-204976,2015,18,Article,,,,,1
1171,Science Communication,How Motivated Reasoning and Temporal Frames May Polarize Opinions About Wildlife Disease Risk,"[{'name': 'S. Roh', 'affiliation': 'Cornell University, Ithaca, United States'}]",10.1177/1075547015575181,2015,18,Article,,,,,1
1172,Molecular Microbiology,The BBA33 lipoprotein binds collagen and impacts Borrelia burgdorferi pathogenesis,"[{'name': 'H. Zhi', 'affiliation': 'Texas A and M Health Science Center, College Station, United States'}]",10.1111/mmi.12921,2015,18,Article,,,,,1
1173,PLoS ONE,Transstadial transmission of Borrelia turcica in Hyalomma aegyptium ticks,"[{'name': 'Z. Kalmár', 'affiliation': 'Universitatea de Stiinte Agricole si Medicina Veterinara din Cluj-Napoca, Cluj Napoca, Romania'}]",10.1371/journal.pone.0115520,2015,18,Article,,,,,1
1174,Applied and Environmental Microbiology,Complex population structure of Borrelia burgdorferi in southeastern and south central Canada as revealed by phylogeographic analysis,"[{'name': 'S. Mechai', 'affiliation': 'University of Montreal, Montreal, Canada'}]",10.1128/AEM.03730-14,2015,18,Article,,,,,1
1176,Antibiotics,Identification of additional anti-persister activity against Borrelia burgdorferi from an FDA drug library,"[{'name': 'J. Feng', 'affiliation': 'Johns Hopkins Bloomberg School of Public Health, Baltimore, United States'}]",10.3390/antibiotics4030397,2015,17,Article,,,,,1
1178,PLoS ONE,"Nuclear markers reveal predominantly north to south gene flow in Ixodes scapularis, the tick vector of the Lyme disease spirochete","[{'name': 'J. Van Zee', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1371/journal.pone.0139630,2015,17,Article,,,,,1
1179,NeuroRehabilitation,Risk of fall (RoF) intervention by affecting visual egocenter through gait analysis and yoked prisms,"[{'name': 'W.V. Padula', 'affiliation': 'Johns Hopkins Bloomberg School of Public Health, Baltimore, United States'}]",10.3233/NRE-151263,2015,17,Article,,,,,1
1180,Proteomics,The lipid raft proteome of Borrelia burgdorferi,"[{'name': 'A. Toledo', 'affiliation': 'Stony Brook University, Stony Brook, United States'}]",10.1002/pmic.201500093,2015,17,Article,,,,,1
1181,Ticks and Tick-borne Diseases,Epidemiology of Lyme disease in low-incidence states,"[{'name': 'J.D. Forrester', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1016/j.ttbdis.2015.06.005,2015,17,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X15001120,,,1
1182,Ticks and Tick-borne Diseases,Low risk of seroconversion or clinical disease in humans after a bite by an Anaplasma phagocytophilum-infected tick,"[{'name': 'A.J. Henningsson', 'affiliation': 'County Hospital Ryhov, Jonkoping, Sweden'}]",10.1016/j.ttbdis.2015.07.005,2015,17,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X15001351,,,1
1185,International Journal of Health Geographics,Estimating Ixodes ricinus densities on the landscape scale,"[{'name': 'D. Boehnke', 'affiliation': 'Karlsruher Institut für Technologie, Karlsruhe, Germany'}]",10.1186/s12942-015-0015-7,2015,17,Article,,,,,1
1187,"Infection, Genetics and Evolution",Multilocus spacer analysis revealed highly homogeneous genetic background of Asian type of Borrelia miyamotoi,"[{'name': 'T.A. Mukhacheva', 'affiliation': 'Ural Federal University, Yekaterinburg, Russian Federation'}]",10.1016/j.meegid.2015.02.009,2015,17,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1567134815000520,,,1
1188,Journal of Infectious Diseases,BB0323 and novel virulence determinant BB0238: Borrelia burgdorferi proteins that interact with and stabilize each other and are critical for infectivity,"[{'name': 'T. Kariu', 'affiliation': 'Shokei University, Kumamoto, Japan'}]",10.1093/infdis/jiu460,2015,17,Article,,,,,1
1190,Advances in Clinical and Experimental Medicine,Lyme borreliosis - The utility of improved real-time PCR assay in the detection of Borrelia Burgdorferi infections,"[{'name': 'I. Bil-Lula', 'affiliation': 'Wroclaw Medical University, 50-367 Wrocław, Poland'}]",10.17219/acem/28625,2015,16,Article,,,,,1
1192,Annals of Agricultural and Environmental Medicine,Abundance of questing ticks and molecular evidence for pathogens in ticks in three parks of Emilia-Romagna region of Northern Italy,['S. Aureli'],10.5604/12321966.1167714,2015,16,Article,,,,,1
1193,Cardiovascular Pathology,Lyme disease: a case report of a 17-yeardai-old male with fatal Lyme carditis,"[{'name': 'E.C. Yoon', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1016/j.carpath.2015.03.003,2015,16,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1054880715000253,,,1
1194,Emerging Infectious Diseases,TickNET—A collaborative public health approach to tickborne disease surveillance and research,"[{'name': 'P. Mead', 'affiliation': 'Centers for Disease Control and Prevention, Atlanta, United States'}]",10.3201/eid2109.150301,2015,16,Article,,,,,1
1195,European Journal of Dermatology,Skin and arthropods: An effective interaction used by pathogens in vector-borne diseases,"[{'name': 'Q. Bernard', 'affiliation': 'Université de Strasbourg, Strasbourg, France'}]",10.1684/ejd.2015.2550,2015,16,Article,,,,,1
1196,PLoS Neglected Tropical Diseases,Deep Sequencing Analysis of the Ixodes ricinus Haemocytome,"[{'name': 'M. Kotsyfakis', 'affiliation': 'Institute of Parasitology, Biology Centre of the Academy of Sciences of the Czech Republic, Ceske Budejovice, Czech Republic'}]",10.1371/journal.pntd.0003754,2015,16,Article,,,,,1
1197,Molecular and Cellular Proteomics,Discovery and targeted proteomics on cutaneous biopsies infected by Borrelia to investigate lyme disease,"[{'name': 'G. Schnell', 'affiliation': 'Institut Pluridisciplinaire Hubert Curien, Strasbourg, France'}]",10.1074/mcp.M114.046540,2015,16,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1535947620328747,,,1
1198,Ticks and Tick-borne Diseases,NGS population genetics analyses reveal divergent evolution of a Lyme Borreliosis agent in Europe and Asia,"[{'name': 'F. Gatzmann', 'affiliation': 'Ludwig-Maximilians-Universität München, Munich, Germany'}]",10.1016/j.ttbdis.2015.02.008,2015,16,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X15000345,,,1
1199,Journal of Bone and Joint Surgery - American Volume,"Management of pediatric patients with synovial fluid white blood-cell counts of 25,000 to 75,000 cells/mm3 after aspiration of the hip","[{'name': 'B. Heyworth', 'affiliation': ""Children's Hospital Boston, Boston, United States""}]",10.2106/JBJS.N.00443,2015,16,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S002193551530031X,,,1
1200,Nature Communications,Genomic insights into the Ixodes scapularis tick vector of Lyme disease,"[{'name': 'M. Gulia-Nuss', 'affiliation': 'Purdue University, West Lafayette, United States'}]",10.1038/ncomms10507,2016,253,Article,,,,,1
1201,Nature Reviews Disease Primers,Lyme borreliosis,"[{'name': 'A. Steere', 'affiliation': 'Massachusetts General Hospital, Boston, United States'}]",10.1038/nrdp.2016.90,2016,244,Article,,,,,1
1203,Journal of Medical Entomology,County-scale distribution of Ixodes scapularis and Ixodes pacificus (Acari: Ixodidae) in the continental United States,"[{'name': 'R. Eisen', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1093/jme/tjv237,2016,193,Article,,,,,1
1204,The Lancet Infectious Diseases,Identification of a novel pathogenic Borrelia species causing Lyme borreliosis with unusually high spirochaetaemia: A descriptive study,"[{'name': 'B.S. Pritt', 'affiliation': 'Mayo Clinic, Rochester, United States'}]",10.1016/S1473-3099(15)00464-8,2016,184,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1473309915004648,,,1
1207,New England Journal of Medicine,Randomized trial of longer-term therapy for symptoms attributed to lyme disease,"[{'name': 'A. Berende', 'affiliation': 'Radboud University Medical Center, Enschede, Netherlands'}]",10.1056/NEJMoa1505425,2016,137,Article,,,,,1
1209,BMC Infectious Diseases,The diagnostic accuracy of serological tests for Lyme borreliosis in Europe: A systematic review and meta-analysis,"[{'name': 'M.M.G. Leeflang', 'affiliation': 'Universiteit van Amsterdam, Amsterdam, Netherlands'}]",10.1186/s12879-016-1468-4,2016,108,Article,,,,,1
1211,Emerging Infectious Diseases,"Current guidelines, common clinical pitfalls, and future directions for laboratory diagnosis of lyme disease, United States","[{'name': 'A. Moore', 'affiliation': 'University of Virginia School of Medicine, Charlottesville, United States'}]",10.3201/eid2207.151694,2016,84,Article,,,,,1
1212,International Journal of Systematic and Evolutionary Microbiology,"Borrelia mayonii sp. nov., a member of the Borrelia burgdorferi sensu lato complex, detected in patients and ticks in the upper midwestern United States","[{'name': 'B.S. Pritt', 'affiliation': 'Mayo Clinic, Rochester, United States'}]",10.1099/ijsem.0.001445,2016,82,Article,,,,,1
1213,Proceedings of the National Academy of Sciences of the United States of America,Distinct oligoclonal band antibodies in multiple sclerosis recognize ubiquitous self-proteins,"[{'name': 'S.M. Brändle', 'affiliation': 'Ludwig-Maximilians-Universität München, Munich, Germany'}]",10.1073/pnas.1522730113,2016,78,Article,,,,,1
1215,Proceedings of the National Academy of Sciences of the United States of America,Spatial scale modulates the strength of ecological processes driving disease distributions,"[{'name': 'J.M. Cohen', 'affiliation': 'University of South Florida, Tampa, Tampa, United States'}]",10.1073/pnas.1521657113,2016,72,Article,,,,,1
1216,Radiographics,White matter diseases with radiologic-pathologic correlation,"[{'name': 'N. Sarbu', 'affiliation': 'Hospital Clinic Barcelona, Barcelona, Spain'}]",10.1148/rg.2016160031,2016,71,Article,,,,,1
1218,Molecular ecology,Microbiome changes through ontogeny of a tick pathogen vector,"[{'name': 'C.P. Zolnik', 'affiliation': 'Fordham University, New York, United States'}]",10.1111/mec.13832,2016,67,Article,,,,,1
1220,Nature,Welcome to the CRISPR zoo,['S. Reardon'],10.1038/531160a,2016,66,Article,,,,,1
1221,Parasites and Vectors,Larvae of Ixodes ricinus transmit Borrelia afzelii and B. miyamotoi to vertebrate hosts,"[{'name': 'G. Van Duijvendijk', 'affiliation': 'Wageningen University &amp; Research, Wageningen, Netherlands'}]",10.1186/s13071-016-1389-5,2016,63,Article,,,,,1
1223,Multiple Sclerosis,Differentiating neuromyelitis optica from other causes of longitudinally extensive transverse myelitis on spinal magnetic resonance imaging,"[{'name': 'Y. Pekcevik', 'affiliation': 'The Johns Hopkins Hospital, Baltimore, United States'}]",10.1177/1352458515591069,2016,60,Article,,,,,1
1224,PLoS Neglected Tropical Diseases,"Molecular Detection of Tick-Borne Pathogens in Humans with Tick Bites and Erythema Migrans, in the Netherlands","[{'name': 'S. Jahfari', 'affiliation': 'National Institute for Public Health and the Environment, Bilthoven, Netherlands'}]",10.1371/journal.pntd.0005042,2016,59,Article,,,,,1
1229,Clinical Infectious Diseases,Course and Outcome of Early European Lyme Neuroborreliosis (Bannwarth Syndrome): Clinical and Laboratory Findings,"[{'name': 'K. Ogrinc', 'affiliation': 'Univerzitetni Klinični Center Ljubljana, Ljubljana, Slovenia'}]",10.1093/cid/ciw299,2016,57,Article,,,,,1
1230,Emerging Infectious Diseases,Borrelia miyamotoi-associated neuroborreliosis in immunocompromised person,"[{'name': 'K. Boden', 'affiliation': 'Universitätsklinikum Jena und Medizinische Fakultät, Jena, Germany'}]",10.3201/eid2209.152034,2016,56,Article,,,,,1
1231,PLoS ONE,"The accuracy of diagnostic tests for lyme disease in humans, a systematic review and meta-analysis of north American research","[{'name': 'L. Waddell', 'affiliation': 'Agence de la santé publique du Canada, Ottawa, Canada'}]",10.1371/journal.pone.0168613,2016,53,Article,,,,,1
1232,Journal of Alzheimer's Disease,Bacterial Amyloid and DNA are Important Constituents of Senile Plaques: Further Evidence of the Spirochetal and Biofilm Nature of Senile Plaques,"[{'name': 'J. Miklossy', 'affiliation': 'Prevention Alzheimer International Foundation, Switzerland'}]",10.3233/JAD-160451,2016,53,Article,,,,,1
1233,PLoS Pathogens,Borrelia burgdorferi BBK32 Inhibits the Classical Pathway by Blocking Activation of the C1 Complement Complex,"[{'name': 'B. Garcia', 'affiliation': 'Texas A and M Health Science Center, College Station, United States'}]",10.1371/journal.ppat.1005404,2016,52,Article,,,,,1
1235,Emerging Infectious Diseases,"Differences in genotype, clinical features, and inflammatory potential of borrelia burgdorferi sensu stricto strains from Europe and the United States","[{'name': 'T. Cerar', 'affiliation': 'Univerza v Ljubljani, Ljubljana, Slovenia'}]",10.3201/eid2205.151806,2016,48,Article,,,,,1
1236,Journal of Medical Entomology,Modeling the Geographic Distribution of Ixodes scapularis and Ixodes pacificus (Acari: Ixodidae) in the Contiguous United States,"[{'name': 'M. Hahn', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1093/jme/tjw076,2016,47,Article,,,,,1
1237,Journal of Infectious Diseases,Effectiveness of Residential Acaricides to Prevent Lyme and Other Tick-borne Diseases in Humans,"[{'name': 'A.F. Hinckley', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1093/infdis/jiv775,2016,47,Article,,,,,1
1239,Muscle and Nerve,"Causes of neuropathy in patients referred as ""idiopathic neuropathy""","[{'name': 'K. Farhad', 'affiliation': 'The Neurological Institute of New York, New York, United States'}]",10.1002/mus.24969,2016,45,Article,,,,,1
1240,mBio,Longitudinal transcriptome analysis reveals a sustained differential gene expression signature in patients treated for acute Lyme disease,"[{'name': 'J. Bouquet', 'affiliation': 'University of California, San Francisco, San Francisco, United States'}]",10.1128/mBio.00100-16,2016,44,Article,,,,,1
1241,Clinical and Vaccine Immunology,Immunoglobulin M for acute infection: True or false?,"[{'name': 'M. Landry', 'affiliation': 'Yale School of Medicine, New Haven, United States'}]",10.1128/CVI.00211-16,2016,43,Article,,,,,1
1242,Ophthalmology,Serologically Confirmed Zika-Related Unilateral Acute Maculopathy in an Adult,"[{'name': 'D. Parke', 'affiliation': 'VitreoRetinal Surgery, Minneapolis, United States'}]",10.1016/j.ophtha.2016.06.039,2016,42,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0161642016305073,,,1
1245,"Infection, Genetics and Evolution",Imbalanced presence of Borrelia burgdorferi s.l. multilocus sequence types in clinical manifestations of Lyme borreliosis,"[{'name': 'E. Coipan', 'affiliation': 'National Institute for Public Health and the Environment, Bilthoven, Netherlands'}]",10.1016/j.meegid.2016.04.019,2016,41,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1567134816301459,,,1
1246,FEMS Microbiology Reviews,Impact of genomics on the understanding of microbial evolution and classification: The importance of Darwin's views on classification,"[{'name': 'R.S. Gupta', 'affiliation': 'McMaster University, Hamilton, Canada'}]",10.1093/femsre/fuw011,2016,40,Article,,,,,1
1247,Ecological Applications,Quantifying dilution and amplification in a community of hosts for tick-borne pathogens,"[{'name': 'T. Levi', 'affiliation': 'Oregon State University, Corvallis, United States'}]",10.1890/15-0122,2016,40,Article,,,,,1
1248,Parasites and Vectors,Tick-borne bacterial pathogens in southwestern Finland,"[{'name': 'J.J. Sormunen', 'affiliation': 'Turun yliopisto, Turku, Finland'}]",10.1186/s13071-016-1449-x,2016,37,Article,,,,,1
1251,Clinical Microbiology and Infection,Isolation of live Borrelia burgdorferi sensu lato spirochaetes from patients with undefined disorders and symptoms not typical for Lyme borreliosis,"[{'name': 'N. Rudenko', 'affiliation': 'Institute of Parasitology, Biology Centre of the Academy of Sciences of the Czech Republic, Ceske Budejovice, Czech Republic'}]",10.1016/j.cmi.2015.11.009,2016,35,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1198743X1500991X,,,1
1252,Ticks and Tick-borne Diseases,"Vector competence of the blacklegged tick, Ixodes scapularis, for the recently recognized Lyme borreliosis spirochete Candidatus Borrelia mayonii","[{'name': 'M. Dolan', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1016/j.ttbdis.2016.02.012,2016,35,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X16300267,,,1
1253,Ticks and Tick-borne Diseases,Tick-borne disease preventive practices and perceptions in an endemic area,"[{'name': 'A.D. Butler', 'affiliation': 'Danbury Hospital, Danbury, United States'}]",10.1016/j.ttbdis.2015.12.003,2016,35,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X15300443,,,1
1254,Ticks and Tick-borne Diseases,"Mapping human risk of infection with Borrelia burgdorferi sensu lato, the agent of Lyme borreliosis, in a periurban forest in France","[{'name': ""G. Vourc'h"", 'affiliation': 'Centre Clermont-Auvergne-Rhône-Alpes, Saint-Genes-Champanelle, France'}]",10.1016/j.ttbdis.2016.02.008,2016,35,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X1630022X,,,1
1255,Ticks and Tick-borne Diseases,"A prospective study on the incidence of Borrelia burgdorferi sensu lato infection after a tick bite in Sweden and on the Åland Islands, Finland (2008-2009)","[{'name': 'P. Wilhelmsson', 'affiliation': 'Linköpings Universitet, Linkoping, Sweden'}]",10.1016/j.ttbdis.2015.08.009,2016,35,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X15300066,,,1
1256,International Journal of General Medicine,Commercial test kits for detection of Lyme borreliosis: A meta-analysis of test accuracy,"[{'name': 'M. Cook', 'affiliation': 'Dorset, United Kingdom'}]",10.2147/IJGM.S122313,2016,34,Article,,,,,1
1257,Vector-Borne and Zoonotic Diseases,"Passive Surveillance of Ixodes scapularis (Say), Their Biting Activity, and Associated Pathogens in Massachusetts","[{'name': 'G. Xu', 'affiliation': 'University of Massachusetts Amherst, Amherst MA, United States'}]",10.1089/vbz.2015.1912,2016,34,Article,,,,,1
1258,Journal of Neurology,Prevalence and spectrum of residual symptoms in Lyme neuroborreliosis after pharmacological treatment: a systematic review,"[{'name': 'R. Dersch', 'affiliation': 'Universität Freiburg im Breisgau, Freiburg im Breisgau, Germany'}]",10.1007/s00415-015-7923-0,2016,34,Article,,,,,1
1260,Molecular Microbiology,Global Tn-seq analysis of carbohydrate utilization and vertebrate infectivity of Borrelia burgdorferi,"[{'name': 'E. Troy', 'affiliation': 'Tufts University School of Medicine, Boston, United States'}]",10.1111/mmi.13437,2016,33,Article,,,,,1
1261,PLoS Neglected Tropical Diseases,Changes in the Proteome of Langat-Infected Ixodes scapularis ISE6 Cells: Metabolic Pathways Associated with Flavivirus Infection,"[{'name': 'J.M. Grabowski', 'affiliation': 'College of Science, West Lafayette, United States'}]",10.1371/journal.pntd.0004180,2016,33,Article,,,,,1
1262,Parasites and Vectors,The impact of temperature and precipitation on blacklegged tick activity and Lyme disease incidence in endemic and emerging regions,"[{'name': 'J.C. Burtis', 'affiliation': 'Cornell University, Ithaca, United States'}]",10.1186/s13071-016-1894-6,2016,31,Article,,,,,1
1263,Journal of Clinical Microbiology,Lyme borreliosis serology: Performance of several commonly used laboratory diagnostic tests and a large resource panel of well-characterized patient samples,"[{'name': 'C. Molins', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1128/JCM.00874-16,2016,31,Article,,,,,1
1264,Scientific Reports,Microfluidics-based point-of-care test for serodiagnosis of Lyme Disease,"[{'name': 'S. Nayak', 'affiliation': 'Columbia University, New York, United States'}]",10.1038/srep35069,2016,31,Article,,,,,1
1265,Cell Host and Microbe,Cross-Species Interferon Signaling Boosts Microbicidal Activity within the Tick Vector,"[{'name': 'A.A. Smith', 'affiliation': 'University of Maryland, College Park, College Park, United States'}]",10.1016/j.chom.2016.06.001,2016,31,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1931312816302529,,,1
